#OTU ID	S001_REV1	S001_REV2	S001_REV4	S001_REV5	S002_REV1	S002_REV2	S002_REV4	S002_REV5	S003_REV1	S003_REV2	S003_REV4	S003_REV5	S004_REV1	S004_REV2	S004_REV4	S004_REV5	S005_REV1	S005_REV2	S005_REV4	S005_REV5	S006_REV1	S006_REV2	S006_REV4	S006_REV5	S007_REV1	S007_REV2	S007_REV4	S007_REV5	S008_REV1	S008_REV2	S008_REV4	S008_REV5	S009_REV1	S009_REV2	S009_REV4	S009_REV5	S010_REV1	S010_REV2	S010_REV4	S010_REV5	S011_REV1	S011_REV2	S011_REV4	S011_REV5	S012_REV1	S012_REV2	S012_REV4	S012_REV5	S013_REV1	S013_REV2	S013_REV4	S013_REV5	S014_REV1	S014_REV2	S014_REV4	S014_REV5	S015_REV1	S015_REV2	S015_REV4	S015_REV5	S016_REV1	S016_REV2	S016_REV4	S016_REV5	S017_REV1	S017_REV2	S017_REV4	S017_REV5	S018_REV1	S018_REV2	S018_REV4	S018_REV5	S019_REV1	S019_REV2	S019_REV4	S019_REV5	S020_REV1	S020_REV2	S020_REV4	S020_REV5	S021_REV1	S021_REV2	S021_REV4	S021_REV5	S022_REV1	S022_REV2	S022_REV4	S022_REV5	S023_REV1	S023_REV2	S023_REV4	S023_REV5	S024_REV1	S024_REV2	S024_REV4	S024_REV5	S025_REV1	S025_REV2	S025_REV4	S025_REV5	S026_REV1	S026_REV2	S026_REV4	S026_REV5	S027_REV1	S027_REV2	S027_REV4	S027_REV5	S028_REV1	S028_REV2	S028_REV4	S028_REV5	S029_REV1	S029_REV2	S029_REV4	S029_REV5	S030_REV1	S030_REV2	S030_REV4	S030_REV5	S031_REV1	S031_REV2	S031_REV4	S031_REV5	S032_REV1	S032_REV2	S032_REV4	S032_REV5	S033_REV1	S033_REV2	S033_REV4	S033_REV5	S034_REV1	S034_REV2	S034_REV4	S034_REV5	S035_REV1	S035_REV2	S035_REV4	S035_REV5	S036_REV1	S036_REV2	S036_REV4	S036_REV5	S037_REV1	S037_REV2	S037_REV4	S037_REV5	S038_REV1	S038_REV2	S038_REV4	S038_REV5	S039_REV1	S039_REV2	S039_REV4	S039_REV5	S040_REV1	S040_REV2	S040_REV4	S040_REV5	S041_REV1	S041_REV2	S041_REV4	S041_REV5	S042_REV1	S042_REV2	S042_REV4	S042_REV5	S043_REV1	S043_REV2	S043_REV4	S043_REV5	S044_REV1	S044_REV2	S044_REV4	S044_REV5	S045_REV1	S045_REV2	S045_REV4	S045_REV5	S046_REV1	S046_REV2	S046_REV4	S046_REV5	S047_REV1	S047_REV2	S047_REV4	S047_REV5	S048_REV1	S048_REV2	S048_REV4	S048_REV5	S049_REV1	S049_REV2	S049_REV4	S049_REV5	S050_REV1	S050_REV2	S050_REV4	S050_REV5	S051_REV1	S051_REV2	S051_REV4	S051_REV5	S052_REV1	S052_REV2	S052_REV4	S052_REV5	S053_REV1	S053_REV2	S053_REV4	S053_REV5	S054_REV1	S054_REV2	S054_REV4	S054_REV5	S055_REV1	S055_REV2	S055_REV4	S055_REV5	S056_REV1	S056_REV2	S056_REV5	S057_REV1	S057_REV2	S057_REV3	S058_REV1	S058_REV2	S058_REV3	S059_REV1	S059_REV2	S059_REV3	S060_REV3	S061_REV1	S061_REV2	S061_REV3	S062_REV1	S062_REV2	S062_REV3	S063_REV1	S063_REV2	S063_REV3	S064_REV1	S064_REV2	S064_REV3	S065_REV1	S065_REV3	S066_REV1	S066_REV3	S067_REV1	S067_REV3	S068_REV1	S068_REV3	S069_REV1	S069_REV3	S070_REV1	S070_REV3	S071_REV1	S071_REV3	S072_REV1	S072_REV3	S073_REV1	S073_REV2	S073_REV3	S074_REV1	S074_REV2	S074_REV3	S075_REV1	S075_REV2	S075_REV3	S076_REV1	S076_REV2	S076_REV3	S077_REV1	S077_REV2	S077_REV3	S078_REV2	S078_REV3	S079_REV2	S079_REV3	S080_REV2	S080_REV3	S081_REV2	S081_REV3	S081_REV5	S082_REV2	S082_REV3	S082_REV5	S083_REV2	S083_REV3	S083_REV5	S084_REV3	S084_REV5	S085_REV2	S085_REV3	S085_REV5	S086_REV3	S086_REV5	S087_REV3	S087_REV5	S088_REV3	S088_REV5	S089_REV3	S089_REV5	S090_REV3	S090_REV5	S091_REV3	S091_REV5	S092_REV3	S092_REV5	S093_REV3	S093_REV5	S094_REV3	S094_REV5	S095_REV3	S096_REV3
OTU_00001	26	47	812	114	13	89	968	198	26	13	1473	344	31	23	3060	96	18	10	1153	154	3	59	54	27	122	8	53	382	186	5	25	16	324	8	92	68	224	7	51	28	10	11	50	65	9	9	46	237	6	3	351	42	26	8	1235	121	35	591	946	729	29	100	537	112	19	320	2373	1007	249	15	68	39	65	117	97	441	675	80	66	76	25	9	73	78	23	7	39	27	10	6	61	360	20	7	90	780	26	4	1075	58	23	30	1859	67	43	20	3647	1144	14	93	804	214	15	36	1503	47	814	17	143	664	23	113	117	688	847	246	129	91	1128	17	183	151	13	6	40	34	20	23	96	456	8	10	71	45	30	27	1012	237	16	19	1003	260	41	43	3090	653	33	15	1965	364	25	26	1701	689	51	478	169	507	27	23	123	467	315	14	75	62	435	10	87	68	2	3	3	4	27	13	74	629	20	7	60	59	23	10	1920	298	57	41	1747	257	26	687	1763	275	40	206	2957	675	70	47	2196	504	12	6	37	213	9	40	85	447	73	7	13	7	4	1032	3	9	107	15	13	1066	3	25	13	34	16	9	36	21	4	39	46	379	92	56	82	13	12	2	6	556	950	122	657	9	1015	9	28	9	31	23	19	51	28	644	69	17	23	47	34	742	99	57	625	75	340	41	21	31	9	299	1	55	1	9	932	39	7	761	347	1	1	9	24	69	9	72	81	550	29	106	40	190	67	647	10	152	7	2	13	26	427	15	336	1
OTU_00002	2	0	2	7	0	0	2	0	0	2	2	2	1	0	4	2	0	0	1	1	3	0	1	3	0	0	1	2	0	0	1	1	1	0	0	2	0	1	1	3	2	0	1	2	0	0	2	3	1	0	0	2	0	0	0	3	0	1	1	1	2	1	4	4	1	0	3	1	0	0	2	1	0	0	0	0	1	0	1	3	0	0	0	0	328	4	12	18	0	0	1	0	3	0	2	0	2	0	1	0	2	3	0	1	2	0	5	2	0	0	1	1	0	0	1	0	1	0	0	0	2	0	4	5	0	0	3	4	2	0	8	3	749	2	24	28	9	0	0	3	13	5	41	954	1	0	4	3	2	0	1	3	1	0	5	1	3	0	6	1	1	0	3	2	0	0	6	5	20	3	1528	63	1	0	2	1	1	0	2	1	0	0	0	0	0	0	3	2	6	4	19	385	1	0	1	0	3	0	6	5	0	0	3	1	1	0	6	6	4	0	8	6	0	0	0	1	2	0	57	3	0	0	1	1	0	2	0	0	0	3	0	0	0	2	0	0	0	0	1	2	1	1	2	0	1	2	0	1	0	0	0	2	2	1	1	2	1	0	1	7	1083	2	0	3	2	1	1	0	0	1	2	0	1	1	0	5	0	3	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	2	2	0	1	2	4	3	5	0	1	0	0	0	0	0	0	0	0
OTU_00003	0	0	11	13	0	0	9	10	0	0	39	33	0	0	103	12	0	0	46	20	0	0	4	2	1	0	2	6	4	0	1	0	3	0	6	1	2	0	0	1	0	0	0	2	0	0	4	24	0	0	12	3	1	0	19	38	0	0	23	37	0	0	22	13	2	0	163	33	4	0	2	0	0	0	5	14	28	0	4	4	0	0	1	5	0	0	2	1	0	1	2	40	2	0	1	26	0	0	10	1	0	0	9	5	4	0	247	45	1	0	48	15	0	1	124	7	15	0	8	44	0	0	3	59	0	0	4	2	2	0	3	8	0	0	1	1	1	0	5	9	0	0	3	2	0	0	19	4	0	0	13	30	3	2	274	55	1	0	232	75	1	3	192	46	1	1	10	67	2	0	6	54	5	0	4	0	1	0	3	0	0	0	0	0	0	0	4	41	1	0	4	4	2	0	22	4	1	0	21	38	2	2	127	18	3	0	185	54	7	6	312	138	0	0	3	3	0	0	5	81	0	0	1	0	0	19	1	1	9	0	0	5	0	1	0	0	0	1	0	1	1	3	1	0	4	3	2	0	0	0	1	2	16	0	2	0	1	2	64	0	0	0	0	1	0	0	3	0	1	1	0	0	1	3	0	1	2	0	0	1	0	0	0	1	0	0	69	5	1	10	14	0	0	0	1	31	0	55	5	13	1	34	5	41	4	60	0	4	0	0	0	1	7	2	14	0
OTU_00004	0	1	14	8	0	0	5	10	0	1	56	50	0	0	150	27	2	2	65	52	2	0	28	1	0	0	5	3	0	0	0	2	0	0	0	1	0	0	2	3	0	0	2	5	1	0	4	40	0	0	13	2	3	0	14	23	0	0	28	55	0	0	21	5	3	0	41	103	0	1	3	1	0	0	2	4	1	0	7	0	0	1	3	4	0	1	2	1	1	0	7	56	0	0	5	49	0	0	9	2	0	0	4	1	1	0	250	90	0	0	30	11	0	1	67	5	0	1	3	25	0	0	3	9	1	0	6	8	2	0	4	7	0	0	3	3	0	1	9	14	0	0	2	1	1	0	24	2	1	0	7	18	0	0	162	57	0	1	155	39	1	0	73	100	0	0	6	20	0	0	5	4	0	0	4	2	1	0	4	3	1	0	2	0	1	0	4	33	0	0	10	1	0	0	45	3	1	0	31	19	1	4	69	31	2	1	195	39	8	1	81	26	0	0	1	0	0	0	7	20	0	0	1	0	0	35	0	0	39	1	0	29	0	0	1	0	0	0	2	0	0	2	0	1	2	1	4	0	0	0	1	0	106	0	12	0	7	1	94	0	1	1	0	0	0	0	2	1	1	2	0	1	7	2	0	3	0	2	0	2	0	8	0	2	0	0	73	5	0	31	12	1	0	0	0	23	1	45	1	69	2	6	2	45	7	30	0	1	0	0	0	2	54	0	14	0
OTU_00005	0	0	1	0	0	0	3	0	0	0	7	1	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	4	0	0	0	2	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	4	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1	0	0	0	2	0	0	0	5	0	1	0	0	0	14	5	2499	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	126	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_00007	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	221	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_00008	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	123	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	44	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_00009	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
