superkingdom	kingdom	phylum	class	order	genus	species
Archaea	Euryarchaeota	Euryarchaeota_X	Euryarchaeota_XX	Euryarchaeota_XXX	Euryarchaeota_XXXX	uncultured_marine_group_IIIII_euryarchaeote_AD100066E09
Bacteria	Acidobacteriota	Acidobacteriota_X	Acidobacteriota_XX	Acidobacteriota_XXX	Acidobacteriota_XXXX	uncultured_Acidobacteriota_bacterium
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellia_X	Blastocatellia_XX	Chloracidobacterium	Chloracidobacterium_thermophilum
Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidobacterium	Acidobacterium_capsulatum
Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	Granulicella_mallensis
Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	Granulicella_tundricola
Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Koribacter	Candidatus_Koribacter_versatilis
Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus	Terriglobus_roseus
Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus	Terriglobus_saanensis
Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium_ferrooxidans
Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter_coccineus
Bacteria	Actinomycetota	Actinomycetes	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus_cellulolyticus
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum_schaalii
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium_canis
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium_haemolyticum
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium_hippocoleae
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium_phocae
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium_phocisimile
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium_pluranimalium
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus_curtisii
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella_bernardiae
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella_bialowiezensis
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella_bonasi
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella_pyogenes
Bacteria	Actinomycetota	Actinomycetes	Actinomycetes_X	Actinomycetes_XX	Actinomycetes_XXX	Actinobacteria_bacterium_IMCC26256
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_adolescentis
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_angulatum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_animalis
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_asteroides
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_breve
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_catenulatum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_cuniculi
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_dentium
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_indicum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_magnum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_minimum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudocatenulatum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudolongum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pullorum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_ruminantium
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_scardovii
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_subtile
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_thermophilum
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella_vaginalis
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Parascardovia_denticolens
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Pseudoscardovia	Pseudoscardovia_radai
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Pseudoscardovia	Pseudoscardovia_suis
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia_inopinata
Bacteria	Actinomycetota	Actinomycetes	Candidatus_Actinomarinales	Candidatus_Actinomarinaceae	Actinomarina	Candidatus_Actinomarina_minuta
Bacteria	Actinomycetota	Actinomycetes	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora_acidiphila
Bacteria	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Frankia	Frankia_alni
Bacteria	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Frankia	Frankia_casuarinae
Bacteria	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Frankia	Frankia_sp_EAN1pec
Bacteria	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Protofrankia	Candidatus_Protofrankia_datiscae
Bacteria	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Pseudofrankia	Pseudofrankia_inefficax
Bacteria	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus_saxobsidens
Bacteria	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus_obscurus
Bacteria	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Modestobacter	Modestobacter_marinus
Bacteria	Actinomycetota	Actinomycetes	Glycomycetales	Glycomycetaceae	Stackebrandtia	Stackebrandtia_nassauensis
Bacteria	Actinomycetota	Actinomycetes	Kineosporiales	Kineosporiaceae	Kineococcus	Kineococcus_radiotolerans
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora	Kitasatospora_aureofaciens
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora	Kitasatospora_setae
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptantibioticus	Streptantibioticus_cattleyicolor
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Candidatus_Streptomyces_philanthi
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_abikoensis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_albidoflavus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_ambofaciens
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_avermitilis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_bernensis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_bingchenggensis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_cinnamoneus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_collinus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_davaonensis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_glaucescens
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_griseus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_hygroscopicus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_iranensis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_lavendulae
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_lividans
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_lydicus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_microflavus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_mobaraensis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_mutabilis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_netropsis
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_noursei
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_ramocissimus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_ramulosus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_rapamycinicus
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_scabiei
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_3912010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_4052010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_4072010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_6162010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_6242010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_6292010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_6322010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_6572010
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_Bd_205
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_CNQ509
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_Md_005
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_Md_039
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_sp_SirexAAE
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_venezuelae
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_violaceusniger
Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces_xiamenensis
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Beutenbergiaceae	Beutenbergia	Beutenbergia_cavernae
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_linens
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_fimi
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_flavigena
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas_gilvus
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_faecium
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_tyrofermentans
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermacoccaceae	Dermacoccus	Dermacoccus_nishinomiyaensis
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Intrasporangium	Intrasporangium_calvum
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Janibacter	Janibacter_limosus
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Jonesiaceae	Jonesia	Jonesia_denitrificans
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Kytococcaceae	Kytococcus	Kytococcus_sedentarius
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter_michiganensis
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter_sepedonicus
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia_xyli
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_oxydans
